label,N,P,K,temperature,humidity,ph,rainfall
apple,24.0,136.5,200.0,22.63,92.42,5.89,112.98
banana,100.5,81.0,50.0,27.44,80.22,5.99,105.01
blackgram,41.0,67.0,19.0,29.66,65.03,7.17,68.29
chickpea,39.0,68.0,79.0,18.88,16.66,7.36,79.69
coconut,24.0,15.5,31.0,27.39,94.96,5.99,172.0
coffee,103.0,29.0,30.0,25.66,57.65,6.8,157.77
cotton,117.0,46.0,19.0,23.96,80.01,6.84,80.24
grapes,24.0,133.0,201.0,23.02,81.72,6.0,69.54
jute,78.0,46.0,40.0,24.97,79.47,6.71,175.59
kidneybeans,22.0,67.0,20.0,19.92,21.35,5.75,107.4
lentil,16.5,68.0,19.0,24.95,64.09,6.95,46.55
maize,76.0,48.5,20.0,22.84,65.3,6.26,83.47
mango,21.0,27.5,30.0,31.3,50.28,5.74,94.91
mothbeans,22.0,48.5,20.0,28.37,53.67,7.22,51.18
mungbean,22.0,47.0,20.0,28.44,85.95,6.7,49.03
muskmelon,100.0,18.0,50.0,28.85,92.11,6.35,24.72
orange,19.0,16.0,10.0,22.9,91.96,7.02,110.68
papaya,49.0,60.0,50.0,33.26,92.68,6.74,139.0
pigeonpeas,20.0,69.5,20.0,28.93,47.2,5.69,154.31
pomegranate,18.0,20.0,40.0,22.35,89.91,6.43,107.59
rice,80.0,47.0,40.0,23.73,82.19,6.36,233.12
watermelon,99.0,17.5,50.5,25.6,85.03,6.47,50.67
